"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2004","Union européenne - 28 pays","Population au 1er janvier - totale","492 555 798",""
"2004","Royaume-Uni","Population au 1er janvier - totale","59 793 759",""
"2005","Union européenne - 28 pays","Population au 1er janvier - totale","494 598 322",""
"2005","Royaume-Uni","Population au 1er janvier - totale","60 182 050",""
"2006","Union européenne - 28 pays","Population au 1er janvier - totale","496 436 597",""
"2006","Royaume-Uni","Population au 1er janvier - totale","60 620 361",""
"2007","Union européenne - 28 pays","Population au 1er janvier - totale","498 300 775",""
"2007","Royaume-Uni","Population au 1er janvier - totale","61 073 279",""
"2008","Union européenne - 28 pays","Population au 1er janvier - totale","500 297 033","b"
"2008","Royaume-Uni","Population au 1er janvier - totale","61 571 647",""
"2009","Union européenne - 28 pays","Population au 1er janvier - totale","502 090 235",""
"2009","Royaume-Uni","Population au 1er janvier - totale","62 042 343",""
"2010","Union européenne - 28 pays","Population au 1er janvier - totale","503 170 618","b"
"2010","Royaume-Uni","Population au 1er janvier - totale","62 510 197",""
"2011","Union européenne - 28 pays","Population au 1er janvier - totale","502 964 837","b"
"2011","Royaume-Uni","Population au 1er janvier - totale","63 022 532",""
"2012","Union européenne - 28 pays","Population au 1er janvier - totale","504 047 749","b"
"2012","Royaume-Uni","Population au 1er janvier - totale","63 495 088",""
"2013","Union européenne - 28 pays","Population au 1er janvier - totale","505 163 053",""
"2013","Royaume-Uni","Population au 1er janvier - totale","63 905 342",""
"2014","Union européenne - 28 pays","Population au 1er janvier - totale","507 235 091","b"
"2014","Royaume-Uni","Population au 1er janvier - totale","64 351 203",""
"2015","Union européenne - 28 pays","Population au 1er janvier - totale","508 520 205","b"
"2015","Royaume-Uni","Population au 1er janvier - totale","64 853 393",""
"2016","Union européenne - 28 pays","Population au 1er janvier - totale","510 181 874","p"
"2016","Royaume-Uni","Population au 1er janvier - totale","65 379 044",""
"2017","Union européenne - 28 pays","Population au 1er janvier - totale","511 373 278","b"
"2017","Royaume-Uni","Population au 1er janvier - totale","65 844 142",""
"2018","Union européenne - 28 pays","Population au 1er janvier - totale","512 379 225","ep"
"2018","Royaume-Uni","Population au 1er janvier - totale","66 273 576",""
"2019","Union européenne - 28 pays","Population au 1er janvier - totale","513 481 690","ep"
"2019","Royaume-Uni","Population au 1er janvier - totale","66 647 112",""
