type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
boeuf,10.7,9.9,10.1,10.3,10.5,9.9,10.2,10.2,10.9,11.3,12.2,12.7,12.5,12.5,13.1,12.7,12.7,12.3
porc,15.1,15,13.8,15,15.2,15.2,14.3,15.2,15.1,15.8,16.2,17.2,15.7,15,14.8,15.3,15.1,14.4
mouton,0.7,0.8,0.8,0.9,0.8,0.9,1,1,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4
volaille,11.8,12.8,13.5,13,13.5,14.2,14.8,15.1,16.5,16,16.9,17.2,17.6,18.8,19.9,20.8,21.9,22.1
viande pure,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
lievre,2,2.1,2,2,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7
total viande,40.8,41.1,40.6,41.6,42.4,42.6,42.6,43.7,45.9,46.7,48.8,50.8,49.3,49.9,51.2,52.2,53.2,52.4
foie rein et langue ,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
jambon,5.6,5.1,6,4.9,4.8,4.5,4.4,4.5,5.3,4.7,5.1,4.5,4.7,5.8,4.6,4.4,4.2,4.2
saucisse paté ,15.1,15.4,18,16.9,17.5,16.8,18.2,17.7,17.8,17.5,17.1,16.2,15.9,15.7,16.6,13.9,13.7,14
conserve viande,1,0.8,0.8,0.7,0.7,0.7,0.8,0.5,0.3,0.2,0.4,0.4,0.7,1.1,1.1,1.2,1.1,1.2
